prompt,tools
"When a new GitHub issue is created, send a Slack notification to #engineering","githubTrigger,slack"
"Every day at 9 AM, read new rows from Google Sheets and send each one as a Telegram message","scheduleTrigger,googleSheets,telegram"
"Receive a webhook with customer data, save it to PostgreSQL, and send a confirmation email","webhook,postgres,gmail"
"When a new Gmail arrives, extract the content with AI, classify it, and add it to Notion","gmailTrigger,openAi,textClassifier,notion"
"On a schedule, scrape an RSS feed, summarize articles with OpenAI, and post to Slack","scheduleTrigger,rssFeedRead,openAi,slack"
"When a form is submitted, look up the customer in Airtable and send a personalized email","formTrigger,airtable,gmail"
"Receive a webhook, call an external API, and write results to Google Sheets","webhook,httpRequest,googleSheets"
"Monitor Google Drive for new files, extract text from PDFs, and store in Supabase","googleDriveTrigger,extractFromFile,supabase"
"Every hour, query Postgres for new orders and send a summary to Discord","scheduleTrigger,postgres,discord"
"When a Telegram message is received, use an AI agent to answer, and log the conversation to Google Sheets","telegramTrigger,agent,googleSheets"
"Accept a webhook, validate data with conditions, and either create a Jira issue or send an error email","webhook,if,jira,gmail"
"Daily, fetch HubSpot contacts updated today and sync them to Airtable","scheduleTrigger,hubspot,airtable"
"When a new Google Calendar event is created, notify the team via Slack and create a Notion page","googleCalendarTrigger,slack,notion"
"Receive data via webhook, transform it with custom code, and post it to a REST API","webhook,code,httpRequest"
"Read data from Google Sheets, split into batches, and send each batch to an API","googleSheets,splitInBatches,httpRequest"
"When a new Slack message mentions a bug, create a GitHub issue and notify via email","slackTrigger,github,gmail"
"Every morning, check RSS feeds for news, summarize with GPT, and post to Discord","scheduleTrigger,rssFeedRead,openAi,discord"
"Receive a webhook with order data, check if customer exists in Supabase, and send a WhatsApp confirmation","webhook,supabase,whatsApp"
"When a GitHub PR is merged, update a Notion database and send a Slack notification","githubTrigger,notion,slack"
"Daily, read emails from Gmail, extract invoice data with AI, and save to Google Sheets","scheduleTrigger,gmail,informationExtractor,googleSheets"
"Accept form submission, look up user in PostgreSQL, generate PDF report, and email it","formTrigger,postgres,convertToFile,gmail"
"When a Jira ticket status changes, update HubSpot deal and notify the team on Slack","jiraTrigger,hubspot,slack"
"Every week, export Airtable records to CSV and upload to Google Drive","scheduleTrigger,airtable,convertToFile,googleDrive"
"Receive webhook data, classify text with AI, and route to different Slack channels based on category","webhook,textClassifier,switch,slack"
"When a new Google Doc is created, extract content and create a WordPress blog post","googleDocsTrigger,googleDocs,wordpress"
"Accept a webhook, query MongoDB for matching records, and return results","webhook,mongodb,respondToWebhook"
"Every day, check for new LinkedIn posts mentioning the company and log to Notion","scheduleTrigger,httpRequest,notion"
"When a Telegram command is received, query a database and send the result back","telegramTrigger,postgres,telegram"
"Process uploaded CSV files, transform data with code, and insert into PostgreSQL","webhook,extractFromFile,code,postgres"
"When an email arrives with an attachment, save it to Google Drive and notify via Slack","gmailTrigger,googleDrive,slack"
"Daily, aggregate Redis cache stats and send a summary report via email","scheduleTrigger,redis,aggregate,emailSend"
"Receive a webhook, validate against schema, cache in Redis, and respond with confirmation","webhook,if,redis,respondToWebhook"
"When a new Airtable record is created, use AI to generate content and post to WordPress","airtableTrigger,openAi,wordpress"
"Every hour, monitor an API endpoint for changes and alert via Discord if detected","scheduleTrigger,httpRequest,if,discord"
"Accept form data, run it through an AI agent for analysis, and save results to Notion","formTrigger,agent,notion"
"When a GitHub release is published, update changelog in Notion and announce on Slack","githubTrigger,notion,slack"
"Read customer feedback from Google Sheets, classify sentiment with AI, and update Airtable","googleSheets,textClassifier,airtable"
"Every morning, pull calendar events for the day and send a summary to Telegram","scheduleTrigger,googleCalendar,telegram"
"Receive a webhook with image URL, analyze with AI, and store description in Supabase","webhook,openAi,supabase"
"When a new Discord message is posted, translate with AI and forward to Slack","discordTrigger,openAi,slack"
